"","model1_ASC_t","model1_DES_t","model2_ASC_t","model2_DES_t","model3_ASC_t","model3_DES_t","model4_ASC_t","model4_DES_t","model1_ASC_P","model1_DES_P","model2_ASC_P","model2_DES_P","model3_ASC_P","model3_DES_P","model4_ASC_P","model4_DES_P","model1_ASC_FDR","model1_DES_FDR","model2_ASC_FDR","model2_DES_FDR","model3_ASC_FDR","model3_DES_FDR","model4_ASC_FDR","model4_DES_FDR"
"d__Bacteria--p__Firmicutes--c__Bacilli--o__Lactobacillales--f__Streptococcaceae--g__Streptococcus",-1.46604070973898,-2.93459719367692,-1.22363948446091,-2.82089719021629,-1.61787106961715,-2.9200829567503,-1.5916283349245,-2.54561767292315,0.144431731917396,0.00379058550271346,0.222761897184834,0.00535569476200934,0.107600453231764,0.00399208246097412,0.113479712695011,0.0118783004141044,0.535344875328618,0.0634424310454148,0.624334955169326,0.0812384458312378,0.654128269696307,0.114513981036324,0.691676710879827,0.210065255489436
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Marinifilaceae",-2.81867392570004,-2.88089567347377,-2.78925488495956,-2.76830671743938,-2.36726253073855,-2.20383288098579,-2.11046252201648,-2.03663990448446,0.0053778961280982,0.0044644842926478,0.00587868847614897,0.00625631566054585,0.0190792011888863,0.0289293081858449,0.0364033524178672,0.0433771005644429,0.257502310595756,0.0677588735598754,0.207713659490597,0.0828961825022325,0.406800620467254,0.236315880798362,0.48234441953674,0.326880985282157
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Neisseriaceae--g__Neisseria",-1.96006733440404,-2.73760682746305,-1.67781815022496,-2.41889614093696,-1.22797188933059,-2.48817441279525,-0.995730384644359,-2.49002094087868,0.0515757558866511,0.00683205501801758,0.0951987554174892,0.0166165085664538,0.22120635890397,0.0138389352902434,0.320913343870605,0.0138217534180221,0.400026594437928,0.0937483251344644,0.510302265752177,0.15618774884496,0.855301292089393,0.195926951359003,0.903272733944688,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Neisseriaceae--g__Neisseria--__",-1.96006733440404,-2.73760682746305,-1.67781815022496,-2.41889614093696,-1.22797188933059,-2.48817441279525,-0.995730384644359,-2.49002094087868,0.0515757558866511,0.00683205501801758,0.0951987554174892,0.0166165085664538,0.22120635890397,0.0138389352902434,0.320913343870605,0.0138217534180221,0.400026594437928,0.0937483251344644,0.510302265752177,0.15618774884496,0.855301292089393,0.195926951359003,0.903272733944688,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Betaproteobacteriales--f__Neisseriaceae",-2.05417251655724,-2.7255732530106,-1.77513764955404,-2.40508571654776,-1.31624302224208,-2.48137333806933,-1.13482028656115,-2.48533520717564,0.0414460487090516,0.00707534529316713,0.0776437377056695,0.0172359212205297,0.189918057974586,0.0140958365547333,0.258180218608852,0.0139978379631343,0.369216185106357,0.0937483251344644,0.510302265752177,0.15618774884496,0.804755791421785,0.195926951359003,0.837768464465458,0.210065255489436
"d__Bacteria--p__Bacteroidetes--c__Bacteroidia--o__Bacteroidales--f__Marinifilaceae--g__Odoribacter--__",-2.0821736055983,-2.52265536171228,-2.3443928732043,-2.71064341159435,-2.20156177372732,-2.37893784104673,-2.29056888906131,-2.61079850481225,0.0387813204287295,0.012544083070096,0.0201999892554718,0.00740014402975067,0.0290840598909818,0.0185124007996975,0.0233190783859111,0.00991401578565603,0.369216185106357,0.147741422825575,0.305749794542836,0.0941298320584285,0.406800620467254,0.196297527603193,0.39522695299267,0.210065255489436
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales",-2.63826238384213,-2.47151040923086,-3.03362997842973,-2.78963085357787,-2.4723229108879,-2.02576347202289,-2.66815735987076,-2.07633987585778,0.00908438790487824,0.0144164905863922,0.00279108456277513,0.00587573664817129,0.0144380204378847,0.0444100692189404,0.00842739287861495,0.03950279014466,0.279404543441817,0.158084276085266,0.177512978192498,0.0812384458312378,0.406800620467254,0.300476638545171,0.297767881711061,0.322099673487227
"d__Bacteria--p__Proteobacteria--c__Gammaproteobacteria--o__Enterobacteriales--f__Enterobacteriaceae",-2.63826238384213,-2.47151040923086,-3.03362997842973,-2.78963085357787,-2.4723229108879,-2.02576347202289,-2.66815735987076,-2.07633987585778,0.00908438790487824,0.0144164905863922,0.00279108456277513,0.00587573664817129,0.0144380204378847,0.0444100692189404,0.00842739287861495,0.03950279014466,0.279404543441817,0.158084276085266,0.177512978192498,0.0812384458312378,0.406800620467254,0.300476638545171,0.297767881711061,0.322099673487227
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia",1.91872927343674,2.36328140594128,2.13999603804273,2.66715416681704,1.14356421534639,1.57879451108715,0.992191876912651,1.38595041258162,0.0566461361792966,0.019217622462327,0.0337645585221518,0.00838453159434619,0.254460816470965,0.116310060273463,0.322630643841977,0.167740020118658,0.400299362333696,0.190975123219374,0.335535300313883,0.0987511498889662,0.900357450465493,0.480345443726767,0.903272733944688,0.556082752184183
"d__Bacteria--p__Firmicutes--c__Clostridia--o__Clostridiales--f__Lachnospiraceae--g__Blautia--__",1.91872927343674,2.36328140594128,2.13999603804273,2.66715416681704,1.14356421534639,1.57879451108715,0.992191876912651,1.38595041258162,0.0566461361792966,0.019217622462327,0.0337645585221518,0.00838453159434619,0.254460816470965,0.116310060273463,0.322630643841977,0.167740020118658,0.400299362333696,0.190975123219374,0.335535300313883,0.0987511498889662,0.900357450465493,0.480345443726767,0.903272733944688,0.556082752184183
"d__Bacteria--p__Firmicutes--c__Negativicutes--o__Selenomonadales--f__Acidaminococcaceae--g__Phascolarctobacterium--__",2.09006586228755,2.62476842679064,2.46858046374122,2.85563573656316,2.58057442914045,2.88003016788184,2.3725882120224,2.57294973999241,0.0380573057840902,0.00944232040280714,0.0145422966123868,0.00482733135759872,0.0107341865917969,0.00450761526872688,0.0188748401702044,0.0110157098397353,0.369216185106357,0.116232396219479,0.256913906818833,0.0812384458312378,0.406800620467254,0.114513981036324,0.39522695299267,0.210065255489436
"d__Bacteria--p__Actinobacteria",2.18993787852919,2.88014450665719,2.32136677765903,3.04762818804816,1.94556169381462,2.37610841862236,1.68482390359218,2.16125643487236,0.0298515304409721,0.00447464259357668,0.0214397288371282,0.00267292863699855,0.053406822590037,0.0186500734328957,0.0940093422521489,0.0322008450255695,0.361075055298805,0.0677588735598754,0.305749794542836,0.0607136647546814,0.459009988746804,0.196297527603193,0.664332685248519,0.301172609356797
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella",2.50443106889529,3.08705466179523,2.55537892762102,3.28037681426099,2.13684621743251,2.67350025949746,1.92779751248691,2.40870241420768,0.0131794595963121,0.00235292117265987,0.0114731967668578,0.00125637942637935,0.0340841692527424,0.00826558580165942,0.0556853898145622,0.0171751466752369,0.279404543441817,0.0634424310454148,0.242271712762059,0.0453645112452465,0.406800620467254,0.164278517807981,0.536604665485781,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae--g__Collinsella--__",2.50443106889529,3.08705466179523,2.55537892762102,3.28037681426099,2.13684621743251,2.67350025949746,1.92779751248691,2.40870241420768,0.0131794595963121,0.00235292117265987,0.0114731967668578,0.00125637942637935,0.0340841692527424,0.00826558580165942,0.0556853898145622,0.0171751466752369,0.279404543441817,0.0634424310454148,0.242271712762059,0.0453645112452465,0.406800620467254,0.164278517807981,0.536604665485781,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales--f__Coriobacteriaceae",2.53258212138741,3.10437854644158,2.58024702976295,3.29850737348149,2.15688043064152,2.69110811520233,1.950569243281,2.42880546436122,0.0122017914107162,0.00222626473086708,0.0107079379629474,0.00118256111857624,0.0324624182486964,0.00785944948098811,0.0528890602752246,0.0162851356766139,0.279404543441817,0.0634424310454148,0.242271712762059,0.0453645112452465,0.406800620467254,0.164278517807981,0.536604665485781,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia",2.8009701862018,3.26848922646918,2.84515832581443,3.45088499855528,2.42802994577145,2.92298224180645,2.18867001930559,2.67008041258709,0.00566828985588142,0.00130297749899776,0.00497820751807559,0.000703938269778107,0.0162559060007523,0.00395694708996222,0.0300980188923592,0.00838662891905263,0.257502310595756,0.0591924063830413,0.197883748843505,0.0453645112452465,0.406800620467254,0.114513981036324,0.435053182171374,0.210065255489436
"d__Bacteria--p__Actinobacteria--c__Coriobacteriia--o__Coriobacteriales",2.8009701862018,3.26848922646918,2.84515832581443,3.45088499855528,2.42802994577145,2.92298224180645,2.18867001930559,2.67008041258709,0.00566828985588142,0.00130297749899776,0.00497820751807559,0.000703938269778107,0.0162559060007523,0.00395694708996222,0.0300980188923592,0.00838662891905263,0.257502310595756,0.0591924063830413,0.197883748843505,0.0453645112452465,0.406800620467254,0.114513981036324,0.435053182171374,0.210065255489436
