"","alpha_ASC_t","MDS1_ASC_t","MDS2_ASC_t","MDS3_ASC_t","MDS4_ASC_t","MDS5_ASC_t","MDS6_ASC_t","alpha_ASC_P","MDS1_ASC_P","MDS2_ASC_P","MDS3_ASC_P","MDS4_ASC_P","MDS5_ASC_P","MDS6_ASC_P"
"model1",1.75600349463475,-0.816558855995145,-0.557513174350819,2.14969225749796,0.898221032981629,0.912685586653629,-2.50166286128077,0.0808372026731021,0.415290735999466,0.577889285594456,0.032952795071528,0.370301868298097,0.362663552684718,0.013279272741511
"model2",2.08528010367801,-1.40186335039236,-0.61298325489414,2.30085942195165,0.836545810155804,0.983507046231065,-2.25541697129975,0.0385203496995681,0.162758094306166,0.540697082133143,0.0225996206244388,0.404008637139752,0.326739375893696,0.0253675724515105
"model3",1.50263861063028,-0.577512113275191,-0.448969689725411,2.33968288936214,0.616042759257759,2.01789072466993,-1.88596875893295,0.134843727648689,0.564380772467594,0.654042637654585,0.0204974902692343,0.538715213133176,0.0452229560390752,0.0610564017042077
"model4",1.93762678495046,-0.730369334569287,-0.965279819756639,2.09071910106931,0.468876343969639,2.76614376084209,-1.62853412136026,0.0544634751457599,0.466252914429679,0.335889181506616,0.0381642523357685,0.639808434227361,0.00635322912007637,0.10541667789135
