"","alpha_DES_t","MDS1_DES_t","MDS2_DES_t","MDS3_DES_t","MDS4_DES_t","MDS5_DES_t","MDS6_DES_t","alpha_DES_P","MDS1_DES_P","MDS2_DES_P","MDS3_DES_P","MDS4_DES_P","MDS5_DES_P","MDS6_DES_P"
"model1",3.07507073753878,-1.15059163746655,0.197053717028676,1.47682719912586,-1.71452808195601,1.97919308195489,-0.417697667695091,0.00244439547884753,0.251479050968523,0.844015489607284,0.141529538778674,0.0882122774304719,0.049371763866216,0.676683153637593
"model2",3.47679366408308,-1.69112879040232,0.10551386184205,1.627840002081,-1.57371449939107,2.04630765559353,-0.479413109324185,0.000643388620590909,0.0926339539271976,0.916091740555367,0.10539992019724,0.117401832469284,0.0422571814380814,0.632257324333801
"model3",3.37007695642397,-1.86310688150235,0.127242513330842,1.3795044558501,-1.25342342881767,2.74180465273247,-0.391416085084655,0.000938173901522195,0.064246494396124,0.898905293673738,0.169628874154859,0.211846536344501,0.00679313021711957,0.696000903798242
"model4",2.99074559183835,-1.17319807912019,-0.108032048062551,1.51482398263508,-1.13220011923879,3.28059398456713,-0.472450266403902,0.00323521574290016,0.242504582534526,0.914109092634528,0.131840524268388,0.259287598459843,0.00127790185351913,0.637265700595879
